Step,StepId,Array,Key,n,key,fibM,fibMMm1,fibMMm2,offset,i,result
29,whileFibGrow,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,21,13,8,,,
30,setOffset,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,21,13,8,-1,,
31,whileFibM,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,21,13,8,-1,,
32,setI,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,21,13,8,-1,7,
33,checkLess,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,21,13,8,-1,7,
34,shrinkRightFibM,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,13,13,8,-1,7,
35,shrinkRightFibMMm1,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,13,8,8,-1,7,
36,shrinkRightFibMMm2,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,13,8,5,-1,7,
37,updateOffset,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,13,8,5,7,7,
38,whileFibM,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,13,8,5,7,7,
39,setI,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,13,8,5,7,12,
40,checkLess,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,13,8,5,7,12,
41,shrinkRightFibM,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,8,8,5,7,12,
42,shrinkRightFibMMm1,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,8,5,5,7,12,
43,shrinkRightFibMMm2,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,8,5,3,7,12,
44,updateOffset,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,8,5,3,12,12,
45,whileFibM,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,8,5,3,12,12,
46,setI,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,8,5,3,12,15,
47,checkLess,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,8,5,3,12,15,
48,shrinkRightFibM,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,5,5,3,12,15,
49,shrinkRightFibMMm1,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,5,3,3,12,15,
50,shrinkRightFibMMm2,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,5,3,2,12,15,
51,updateOffset,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,5,3,2,15,15,
52,whileFibM,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,5,3,2,15,15,
53,setI,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,5,3,2,15,15,
54,checkLess,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,5,3,2,15,15,
55,shrinkRightFibM,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,3,3,2,15,15,
56,shrinkRightFibMMm1,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,3,2,2,15,15,
57,shrinkRightFibMMm2,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,3,2,1,15,15,
58,updateOffset,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,3,2,1,15,15,
59,whileFibM,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,3,2,1,15,15,
60,setI,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,3,2,1,15,15,
61,checkLess,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,3,2,1,15,15,
62,shrinkRightFibM,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,2,2,1,15,15,
63,shrinkRightFibMMm1,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,2,1,1,15,15,
64,shrinkRightFibMMm2,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,2,1,1,15,15,
65,updateOffset,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,2,1,1,15,15,
66,whileFibM,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,2,1,1,15,15,
67,setI,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,2,1,1,15,15,
68,checkLess,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,2,1,1,15,15,
69,shrinkRightFibM,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,1,1,1,15,15,
70,shrinkRightFibMMm1,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,1,1,1,15,15,
71,shrinkRightFibMMm2,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,1,1,0,15,15,
72,updateOffset,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,1,1,0,15,15,
73,whileFibM,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,1,1,0,15,15,
74,checkLast,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,1,1,0,15,15,
75,returnMiss,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,1,1,0,15,15,NOT_FOUND
