Step,StepId,Array,Key,n,key,fibM,fibMMm1,fibMMm2,offset,i,result
21,whileFibGrow,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,8,5,3,,,
22,growFibMMm2,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,8,5,5,,,
23,growFibMMm1,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,8,8,5,,,
24,growFibM,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,13,8,5,,,
25,whileFibGrow,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,13,8,5,,,
26,setOffset,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,13,8,5,-1,,
27,whileFibM,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,13,8,5,-1,,
28,setI,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,13,8,5,-1,4,
29,checkLess,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,13,8,5,-1,4,
30,shrinkRightFibM,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,8,8,5,-1,4,
31,shrinkRightFibMMm1,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,8,5,5,-1,4,
32,shrinkRightFibMMm2,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,8,5,3,-1,4,
33,updateOffset,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,8,5,3,4,4,
34,whileFibM,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,8,5,3,4,4,
35,setI,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,8,5,3,4,7,
36,checkLess,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,8,5,3,4,7,
37,shrinkRightFibM,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,5,5,3,4,7,
38,shrinkRightFibMMm1,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,5,3,3,4,7,
39,shrinkRightFibMMm2,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,5,3,2,4,7,
40,updateOffset,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,5,3,2,7,7,
41,whileFibM,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,5,3,2,7,7,
42,setI,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,5,3,2,7,9,
43,checkLess,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,5,3,2,7,9,
44,shrinkRightFibM,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,3,3,2,7,9,
45,shrinkRightFibMMm1,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,3,2,2,7,9,
46,shrinkRightFibMMm2,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,3,2,1,7,9,
47,updateOffset,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,3,2,1,9,9,
48,whileFibM,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,3,2,1,9,9,
49,setI,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,3,2,1,9,10,
50,checkLess,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,3,2,1,9,10,
51,shrinkRightFibM,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,2,2,1,9,10,
52,shrinkRightFibMMm1,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,2,1,1,9,10,
53,shrinkRightFibMMm2,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,2,1,1,9,10,
54,updateOffset,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,2,1,1,10,10,
55,whileFibM,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,2,1,1,10,10,
56,setI,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,2,1,1,10,11,
57,checkLess,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,2,1,1,10,11,
58,shrinkRightFibM,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,1,1,1,10,11,
59,shrinkRightFibMMm1,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,1,1,1,10,11,
60,shrinkRightFibMMm2,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,1,1,0,10,11,
61,updateOffset,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,1,1,0,11,11,
62,whileFibM,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,1,1,0,11,11,
63,checkLast,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,1,1,0,11,11,
64,returnMiss,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,1,1,0,11,11,NOT_FOUND
